ID,name,createdAt,createdBy,modifiedAt,modifiedBy
3c9e6a10-1111-4a1b-8c2d-100000000001,J.K. Rowling,2024-01-05T10:00:00Z,admin,2024-01-05T10:00:00Z,admin
3c9e6a10-1111-4a1b-8c2d-100000000002,George R.R. Martin,2024-01-06T09:15:00Z,admin,2024-01-06T09:15:00Z,admin
3c9e6a10-1111-4a1b-8c2d-100000000003,Agatha Christie,2024-01-07T11:30:00Z,admin,2024-01-07T11:30:00Z,admin
3c9e6a10-1111-4a1b-8c2d-100000000004,Stephen King,2024-01-08T14:20:00Z,admin,2024-01-08T14:20:00Z,admin
3c9e6a10-1111-4a1b-8c2d-100000000005,Jane Austen,2024-01-09T08:45:00Z,admin,2024-01-09T08:45:00Z,admin
3c9e6a10-1111-4a1b-8c2d-100000000006,Mark Twain,2024-01-10T13:00:00Z,admin,2024-01-10T13:00:00Z,admin
3c9e6a10-1111-4a1b-8c2d-100000000007,Ernest Hemingway,2024-01-11T16:10:00Z,admin,2024-01-11T16:10:00Z,admin
3c9e6a10-1111-4a1b-8c2d-100000000008,Leo Tolstoy,2024-01-12T10:50:00Z,admin,2024-01-12T10:50:00Z,admin
3c9e6a10-1111-4a1b-8c2d-100000000009,Virginia Woolf,2024-01-13T12:25:00Z,admin,2024-01-13T12:25:00Z,admin
3c9e6a10-1111-4a1b-8c2d-100000000010,F. Scott Fitzgerald,2024-01-14T09:05:00Z,admin,2024-01-14T09:05:00Z,admin
