code,description
Fiction,General made-up stories for all readers
Fantasy,Magical worlds and mythical creatures for imaginative readers
Mystery,Suspenseful plots for readers who love solving puzzles
Horror,Scary and thrilling stories for fans of fright
Romance,Love stories for readers who enjoy heartfelt tales
HistoricalFiction,Stories set in the past for history lovers
ScienceFiction,Futuristic and tech-driven stories for sci-fi enthusiasts
Biography,Real life stories for readers interested in true experiences
Children,Simple and fun stories for kids
Poetry,Expressive verses for readers who love rhythm and emotion
